step,num_values,mean_abs_u,max_abs_u,min_u,max_u,frac_over_tau,loss_final,loss_attack,loss_pres,loss_tri
0,1661,0.0005089169204062152,0.0009989611571654677,-0.0009973426349461079,0.0009989611571654677,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
1,1661,0.05046600214621161,0.05095478892326355,-0.05095317214727402,0.05095478892326355,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
2,1661,0.10016710618886511,0.10065222531557083,-0.10065062344074249,0.10065222531557083,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
3,1661,0.14935664496172055,0.14985287189483643,-0.14983418583869934,0.14985287189483643,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
4,1661,0.19778296252749614,0.19831599295139313,-0.1982523500919342,0.19831599295139313,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
5,1661,0.24520389179484375,0.2457982450723648,-0.2456631362438202,0.2457982450723648,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
6,1661,0.2913921985333401,0.2920769155025482,-0.2918395400047302,0.2920769155025482,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
7,1661,0.336140590590357,0.33694708347320557,-0.3365744948387146,0.33694708347320557,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
8,1661,0.3792660075415336,0.3802258372306824,-0.37968525290489197,0.3802258372306824,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
9,1661,0.4206129971360098,0.4217563569545746,-0.42102667689323425,0.4217563569545746,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
10,1661,0.46005603558036806,0.46141013503074646,-0.46046939492225647,0.46141013503074646,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
11,1661,0.4975007881356032,0.49908900260925293,-0.4979150891304016,0.49908900260925293,0.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
12,1661,0.5328843810700423,0.5347249507904053,-0.5333008170127869,0.5347249507904053,1.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
13,1661,0.5661738308562635,0.5682789087295532,-0.5665932893753052,0.5682789087295532,1.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
14,1661,0.5973647926888647,0.5997405052185059,-0.5977879762649536,0.5997405052185059,1.0,-1612.6815185546875,-1613.8017578125,1.0710300207138062,4.921853065490723
