layer,n,pai,d_ppl,d_acc,ppl,acc
0,1,0.001784121320249729,0.0006595968657650091,0.001784121320249729,8.137333856995504,0.7981520966595593
1,1,0.002676181980374733,0.00045263829068984356,0.002676181980374733,8.139017186076261,0.7945984363894811
2,1,0.0008920606601248645,0.0002191171669532772,0.0008920606601248645,8.140917402145703,0.7960199004975125
3,1,0.0001581825521344538,0.0001581825521344538,0.0,8.143989453939643,0.7967306325515281
4,1,0.0017841213202498683,2.6248836519031165e-05,0.0017841213202498683,8.142914958946808,0.7953091684434968
5,1,0.0026761819803745937,0.00012215364918821437,0.0026761819803745937,8.141706677721958,0.798862828713575
6,1,0.002676181980374733,0.00039346511340189883,0.002676181980374733,8.139498608160368,0.7945984363894811
7,1,0.0026761819803745937,0.0007651332548603222,0.0026761819803745937,8.148936239011466,0.798862828713575
8,1,0.0035682426404995975,0.0013046075283964648,0.0035682426404995975,8.153338123200351,0.7938877043354655
9,1,0.004460303300624462,0.0005247712757244288,0.004460303300624462,8.138430402398601,0.7931769722814499
10,1,0.004460303300624462,0.00023236574824316803,0.004460303300624462,8.144593741522147,0.7931769722814499
11,1,0.00011234018415830274,0.00011234018415830274,0.0,8.14361607223253,0.7967306325515281
12,1,0.0017841213202498683,0.0006944870566289292,0.0017841213202498683,8.148360147558492,0.7953091684434968
13,1,0.0008920606601248645,0.00034024725706265324,0.0008920606601248645,8.13993162749433,0.7974413646055437
14,1,0.000158907666960494,0.000158907666960494,0.0,8.141407484834073,0.7967306325515281
15,1,0.0005566776243065327,0.0005566776243065327,0.0,8.147236601219092,0.7967306325515281
16,1,0.001784121320249729,0.0006287326421187009,0.001784121320249729,8.147824019826766,0.7981520966595593
17,1,8.399385160091432e-05,8.399385160091432e-05,0.0,8.14338521119222,0.7967306325515281
18,1,0.0013010550722139544,0.0013010550722139544,0.0,8.132120879784761,0.7967306325515281
19,1,0.005352363960749326,0.0003864626021331888,0.005352363960749326,8.13955558307242,0.7924662402274343
20,1,0.0008920606601248645,6.965025245402309e-05,0.0008920606601248645,8.142134115206623,0.7974413646055437
21,1,0.0015342239687007415,0.0015342239687007415,0.0,8.155213140373085,0.7967306325515281
22,1,0.0035682426404995975,0.00022961919515626232,0.0035682426404995975,8.140831925628596,0.7938877043354655
23,1,0.0016827300740790902,0.0016827300740790902,0.0,8.15642628070281,0.7967306325515281
24,1,0.002642769157257934,0.002642769157257934,0.0017841213202498683,8.164277517718382,0.7953091684434968
25,1,0.0008920606601248645,0.00028108072730028853,0.0008920606601248645,8.140413103667559,0.7974413646055437
26,1,0.001784121320249729,0.0001151530370340637,0.001784121320249729,8.141763668090068,0.7981520966595593
27,1,0.0017841213202498683,0.0004477362377162558,0.0017841213202498683,8.139057066113923,0.7953091684434968
28,1,0.0017841213202498683,0.00062523494569014,0.0017841213202498683,8.147795503382314,0.7953091684434968
29,1,0.0017841213202498683,0.0012182692735535686,0.0017841213202498683,8.152633319575049,0.7953091684434968
30,1,0.00010535226234249035,0.00010535226234249035,0.0,8.14184345527561,0.7967306325515281
31,1,0.001784121320249729,0.0008284308038138127,0.001784121320249729,8.149452474367244,0.7981520966595593
32,1,0.0008920606601248645,0.0005758978026606487,0.0008920606601248645,8.138014552204627,0.7960199004975125
33,1,0.0017841213202498683,0.0008448803613701643,0.0017841213202498683,8.135827416095905,0.7953091684434968
34,1,0.0035313104540586225,0.0035313104540586225,0.0017841213202498683,8.114047994395918,0.7953091684434968
35,1,0.0017841213202498683,0.0004937126761279123,0.0017841213202498683,8.146723357493764,0.7953091684434968
